"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.528458325E-3,-2.231382278E-1,-1.490010297E0,-3.008008876E0,3.364229295E0
1.646545832E-2,-7.302941385E-1,9.591485458E0,-1.812059001E0,9.788436067E0
2.640245832E-2,-1.589429335E0,2.549458998E1,6.043671866E-1,2.555123604E1
3.633945831E-2,-1.302996460E0,3.946726022E1,-5.102168112E0,3.981701331E1
4.627233330E-2,1.533434351E0,2.925833510E1,-8.904866220E0,3.062185880E1
5.620933330E-2,1.711927333E0,1.088816809E1,-9.178655076E-1,1.106008032E1
6.614633329E-2,-1.767137036E0,1.310622281E1,2.171005537E0,1.340183252E1
7.608333329E-2,-1.956122262E0,2.301460806E1,-8.024085800E-1,2.311152219E1
8.602033328E-2,-1.158979538E-1,2.644874331E1,-1.861830647E0,2.651444640E1
9.595733334E-2,-1.473511208E0,2.061916753E1,-1.215044396E0,2.070742953E1
1.058943333E-1,-3.278625618E0,1.403485889E1,-9.664747269E-1,1.444509340E1
1.158313333E-1,-4.340054010E0,1.261445560E1,-1.629400316E0,1.343932678E1
1.257673333E-1,-3.966092410E0,1.289522487E1,-2.883511130E0,1.379606284E1
1.357043333E-1,-2.584966039E0,1.313050747E1,-3.451273431E0,1.382040391E1
1.456413333E-1,-1.503711200E0,1.243973378E1,-2.969471047E0,1.287733988E1
1.555783333E-1,-8.874601324E-1,9.913748317E0,-2.451018462E0,1.025073084E1
1.655153333E-1,-4.945564766E-1,6.623056970E0,-2.610671861E0,7.136180862E0
1.754523333E-1,-9.810896963E-3,3.568069224E0,-3.008275509E0,4.667005012E0
1.853893333E-1,4.161071616E-1,1.123915540E0,-2.172801948E0,2.481410811E0
1.953263333E-1,9.485044791E-1,-5.355774719E-1,-5.463859769E-1,1.218622834E0
2.052633333E-1,1.590103519E0,-2.052208972E0,8.074899566E-1,2.718828957E0
2.152003333E-1,1.823043434E0,-4.243900934E0,1.045930055E0,4.735837010E0
2.251373333E-1,1.683044135E0,-5.833196953E0,8.146330614E-1,6.125557222E0
2.350743333E-1,1.486963166E0,-6.594919583E0,1.230657631E0,6.871574927E0
2.450103333E-1,1.297639679E0,-7.567464159E0,1.817343861E0,7.890064717E0
2.549473333E-1,1.242247251E0,-8.777522049E0,2.149247024E0,9.121805431E0
2.648843333E-1,1.317113831E0,-1.014215810E1,2.453048469E0,1.051739543E1
2.748213333E-1,1.482487708E0,-1.148711710E1,2.409726448E0,1.183040197E1
2.847583333E-1,1.807542758E0,-1.239009326E1,1.816649212E0,1.265234509E1
2.946953333E-1,2.265519638E0,-1.277779407E1,4.677105208E-1,1.298550552E1
3.046323333E-1,2.697872558E0,-1.272386403E1,-1.337482753E0,1.307532379E1
3.145693333E-1,2.594476243E0,-1.249440642E1,-2.547093916E0,1.301265485E1
3.245063333E-1,1.965794434E0,-1.211764693E1,-2.478753998E0,1.252381476E1
3.344433333E-1,1.160282298E0,-1.129862860E1,-1.870351210E0,1.151101546E1
3.443803333E-1,7.259916110E-1,-1.072945010E1,-1.304091643E0,1.083276596E1
3.543173333E-1,7.100863074E-1,-1.012703954E1,-4.830689637E-1,1.016339058E1
3.642533333E-1,8.286862595E-1,-9.232804971E0,2.098335464E-2,9.269943303E0
3.741903333E-1,1.121942689E0,-8.376141100E0,4.319700730E-1,8.461979276E0
3.841273333E-1,1.535612732E0,-7.708887255E0,9.212463677E-1,7.914148346E0
3.940643333E-1,1.970446186E0,-7.287417612E0,1.139087895E0,7.634568413E0
4.040013333E-1,2.349644553E0,-6.984618380E0,1.057062131E0,7.444669488E0
4.139383333E-1,2.630865220E0,-6.854990872E0,6.093899448E-1,7.367747808E0
4.238753333E-1,2.742966577E0,-6.974160635E0,-2.875536405E-2,7.494238392E0
4.338123333E-1,2.745254885E0,-7.251539682E0,-4.013153871E-1,7.764168093E0
4.437493333E-1,2.590667367E0,-7.682441468E0,-3.268757272E-1,8.114081098E0
4.536863333E-1,2.075817398E0,-8.254987376E0,1.918329661E-1,8.514143195E0
4.636233333E-1,1.138604330E0,-9.096731492E0,9.169791428E-1,9.213457245E0
4.735603333E-1,1.625110799E-1,-9.866327398E0,1.541006788E0,9.987268300E0
4.834963333E-1,-4.089423856E-1,-1.029342440E1,2.083879538E0,1.051020331E1
4.934333333E-1,-1.002816269E0,-9.452757928E0,1.645995738E0,9.647257376E0
5.033703333E-1,-1.406332548E0,-8.003650659E0,5.628295898E-1,8.145733377E0
5.133073333E-1,-1.490803472E0,-6.769056097E0,2.581330533E0,7.396342526E0
5.232443333E-1,-1.480379348E0,-4.507893366E0,3.714835507E0,6.025996055E0
5.331813333E-1,-1.426133851E0,3.576075232E-1,1.012334585E0,1.785094455E0
5.431183333E-1,-5.686504199E-1,1.134818375E1,-4.873843404E0,1.236361546E1
5.530553333E-1,7.695352413E-2,2.986067316E1,-4.850919102E0,3.025222537E1
5.629923333E-1,-1.933617937E0,4.541747575E1,-7.581754169E0,4.608653793E1
5.729293333E-1,-3.195338755E0,2.859722551E1,-8.347449982E0,2.996149893E1
5.828663333E-1,-1.453376029E0,9.561568764E0,-1.043791875E0,9.727558819E0
5.928023333E-1,-1.475106621E0,1.507646435E1,5.926914664E-1,1.516004617E1
6.027393333E-1,-5.840237001E-1,2.392254032E1,-7.498679852E-1,2.394141435E1
6.126763333E-1,3.995522323E-1,2.254411770E1,-1.562957236E0,2.260176366E1
6.226133333E-1,-1.145562517E0,1.695970048E1,-1.688156648E0,1.708196788E1
6.325503333E-1,-3.183269225E0,1.307873037E1,-3.419744074E-1,1.346489278E1
6.424873333E-1,-3.899878540E0,1.159183840E1,1.472067238E-1,1.223116674E1
6.524243333E-1,-3.551836184E0,1.268153954E1,-3.928185788E-1,1.317540481E1
6.623613333E-1,-1.990726961E0,1.464936150E1,-1.155212031E0,1.482906946E1
6.722983333E-1,-1.111802740E-1,1.480851920E1,-1.741887736E0,1.491102863E1
6.822353333E-1,9.062003124E-1,1.245495526E1,-1.578619587E0,1.258726139E1
6.921723333E-1,1.543227561E0,8.071532155E0,-7.124528217E-1,8.248561793E0
7.021093333E-1,2.189408040E0,4.072858767E0,-7.860809612E-1,4.690374119E0
7.120453333E-1,2.842486480E0,1.246127610E0,-1.572010918E0,3.479048970E0
7.219823333E-1,3.317031884E0,-8.809268922E-1,-1.529843284E0,3.757546165E0
7.319193333E-1,3.566502755E0,-2.671241999E0,-7.428967886E-1,4.517451866E0
7.418563333E-1,3.426393528E0,-4.223704067E0,1.404758477E-1,5.440549799E0
7.517933333E-1,2.578570063E0,-5.384061209E0,6.268740698E-1,6.002508623E0
7.617303333E-1,1.852368975E0,-6.004895763E0,9.297458804E-1,6.352516930E0
7.716673333E-1,1.412842545E0,-6.925842753E0,5.661520509E-1,7.091117686E0
7.816043333E-1,9.444497274E-1,-7.783983631E0,-1.699960641E-1,7.842913050E0
7.915413333E-1,2.982575534E-1,-9.020918248E0,-6.187709253E-1,9.047032721E0
8.014783333E-1,-4.509806867E-1,-1.043087139E1,5.438268699E-2,1.044075759E1
8.114153333E-1,-1.291151609E0,-1.165987894E1,6.996930277E-1,1.175199641E1
8.213513333E-1,-1.859645981E0,-1.231936768E1,1.821606116E-1,1.246026828E1
