Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),labels
0.006528458325,-0.2231382278,-1.490010297,-3.008008876,3.364229295,1
0.01646545832,-0.7302941385,9.591485458,-1.812059001,9.788436067,1
0.02640245832,-1.589429335,25.49458998,0.6043671866,25.55123604,1
0.03633945831,-1.30299646,39.46726022,-5.102168112,39.81701331,1
0.0462723333,1.533434351,29.2583351,-8.90486622,30.6218588,1
0.0562093333,1.711927333,10.88816809,-0.9178655076,11.06008032,1
0.06614633329,-1.767137036,13.10622281,2.171005537,13.40183252,1
0.07608333329,-1.956122262,23.01460806,-0.80240858,23.11152219,1
0.08602033328,-0.1158979538,26.44874331,-1.861830647,26.5144464,1
0.09595733334,-1.473511208,20.61916753,-1.215044396,20.70742953,1
0.1058943333,-3.278625618,14.03485889,-0.9664747269,14.4450934,1
0.1158313333,-4.34005401,12.6144556,-1.629400316,13.43932678,1
0.1257673333,-3.96609241,12.89522487,-2.88351113,13.79606284,1
0.1357043333,-2.584966039,13.13050747,-3.451273431,13.82040391,1
0.1456413333,-1.5037112,12.43973378,-2.969471047,12.87733988,1
0.1555783333,-0.8874601324,9.913748317,-2.451018462,10.25073084,1
0.1655153333,-0.4945564766,6.62305697,-2.610671861,7.136180862,1
0.1754523333,-0.009810896963,3.568069224,-3.008275509,4.667005012,1
0.1853893333,0.4161071616,1.12391554,-2.172801948,2.481410811,1
0.1953263333,0.9485044791,-0.5355774719,-0.5463859769,1.218622834,1
0.2052633333,1.590103519,-2.052208972,0.8074899566,2.718828957,1
0.2152003333,1.823043434,-4.243900934,1.045930055,4.73583701,1
0.2251373333,1.683044135,-5.833196953,0.8146330614,6.125557222,1
0.2350743333,1.486963166,-6.594919583,1.230657631,6.871574927,1
0.2450103333,1.297639679,-7.567464159,1.817343861,7.890064717,1
0.2549473333,1.242247251,-8.777522049,2.149247024,9.121805431,1
0.2648843333,1.317113831,-10.1421581,2.453048469,10.51739543,1
0.2748213333,1.482487708,-11.4871171,2.409726448,11.83040197,1
0.2847583333,1.807542758,-12.39009326,1.816649212,12.65234509,1
0.2946953333,2.265519638,-12.77779407,0.4677105208,12.98550552,1
0.3046323333,2.697872558,-12.72386403,-1.337482753,13.07532379,1
0.3145693333,2.594476243,-12.49440642,-2.547093916,13.01265485,1
0.3245063333,1.965794434,-12.11764693,-2.478753998,12.52381476,1
0.3344433333,1.160282298,-11.2986286,-1.87035121,11.51101546,1
0.3443803333,0.725991611,-10.7294501,-1.304091643,10.83276596,1
0.3543173333,0.7100863074,-10.12703954,-0.4830689637,10.16339058,1
0.3642533333,0.8286862595,-9.232804971,0.02098335464,9.269943303,1
0.3741903333,1.121942689,-8.3761411,0.431970073,8.461979276,1
0.3841273333,1.535612732,-7.708887255,0.9212463677,7.914148346,1
0.3940643333,1.970446186,-7.287417612,1.139087895,7.634568413,1
0.4040013333,2.349644553,-6.98461838,1.057062131,7.444669488,1
0.4139383333,2.63086522,-6.854990872,0.6093899448,7.367747808,1
0.4238753333,2.742966577,-6.974160635,-0.02875536405,7.494238392,1
0.4338123333,2.745254885,-7.251539682,-0.4013153871,7.764168093,1
0.4437493333,2.590667367,-7.682441468,-0.3268757272,8.114081098,1
0.4536863333,2.075817398,-8.254987376,0.1918329661,8.514143195,1
0.4636233333,1.13860433,-9.096731492,0.9169791428,9.213457245,1
0.4735603333,0.1625110799,-9.866327398,1.541006788,9.9872683,1
0.4834963333,-0.4089423856,-10.2934244,2.083879538,10.51020331,1
0.4934333333,-1.002816269,-9.452757928,1.645995738,9.647257376,1
0.5033703333,-1.406332548,-8.003650659,0.5628295898,8.145733377,1
0.5133073333,-1.490803472,-6.769056097,2.581330533,7.396342526,1
0.5232443333,-1.480379348,-4.507893366,3.714835507,6.025996055,1
0.5331813333,-1.426133851,0.3576075232,1.012334585,1.785094455,1
0.5431183333,-0.5686504199,11.34818375,-4.873843404,12.36361546,1
0.5530553333,0.07695352413,29.86067316,-4.850919102,30.25222537,1
0.5629923333,-1.933617937,45.41747575,-7.581754169,46.08653793,1
0.5729293333,-3.195338755,28.59722551,-8.347449982,29.96149893,1
0.5828663333,-1.453376029,9.561568764,-1.043791875,9.727558819,1
0.5928023333,-1.475106621,15.07646435,0.5926914664,15.16004617,1
0.6027393333,-0.5840237001,23.92254032,-0.7498679852,23.94141435,1
0.6126763333,0.3995522323,22.5441177,-1.562957236,22.60176366,1
0.6226133333,-1.145562517,16.95970048,-1.688156648,17.08196788,1
0.6325503333,-3.183269225,13.07873037,-0.3419744074,13.46489278,1
0.6424873333,-3.89987854,11.5918384,0.1472067238,12.23116674,1
0.6524243333,-3.551836184,12.68153954,-0.3928185788,13.17540481,1
0.6623613333,-1.990726961,14.6493615,-1.155212031,14.82906946,1
0.6722983333,-0.111180274,14.8085192,-1.741887736,14.91102863,1
0.6822353333,0.9062003124,12.45495526,-1.578619587,12.58726139,1
0.6921723333,1.543227561,8.071532155,-0.7124528217,8.248561793,1
0.7021093333,2.18940804,4.072858767,-0.7860809612,4.690374119,1
0.7120453333,2.84248648,1.24612761,-1.572010918,3.47904897,1
0.7219823333,3.317031884,-0.8809268922,-1.529843284,3.757546165,1
0.7319193333,3.566502755,-2.671241999,-0.7428967886,4.517451866,1
0.7418563333,3.426393528,-4.223704067,0.1404758477,5.440549799,1
0.7517933333,2.578570063,-5.384061209,0.6268740698,6.002508623,1
0.7617303333,1.852368975,-6.004895763,0.9297458804,6.35251693,1
0.7716673333,1.412842545,-6.925842753,0.5661520509,7.091117686,1
0.7816043333,0.9444497274,-7.783983631,-0.1699960641,7.84291305,1
0.7915413333,0.2982575534,-9.020918248,-0.6187709253,9.047032721,1
0.8014783333,-0.4509806867,-10.43087139,0.05438268699,10.44075759,1
0.8114153333,-1.291151609,-11.65987894,0.6996930277,11.75199641,1
0.8213513333,-1.859645981,-12.31936768,0.1821606116,12.46026828,1
0.8312883333,-1.804833743,-12.5061792,-1.213339348,12.69386212,1
0.8412253333,-1.405282826,-12.47954514,-2.713424982,12.84821162,1
0.8511623333,-0.8753756918,-12.45910678,-3.135224408,12.87731558,1
0.8610993333,-0.3524226509,-12.05598102,-2.347186968,12.2873987,1
0.8710363333,0.1904862061,-11.53978648,-0.6399730754,11.55908831,1
0.8809733333,0.7828927669,-10.92215445,1.107065034,11.00599709,1
0.8909103333,1.449697838,-10.33642483,2.211221663,10.66924567,1
0.9008473333,2.064288442,-9.608731821,2.573228631,10.15925783,1
0.9107843333,2.502232908,-8.777045501,2.355472473,9.425812847,1
0.9207213333,2.779979745,-7.906255342,1.982035367,8.61194665,1
0.9306583333,2.999628646,-7.25271965,1.412907157,7.974711341,1
0.9405943333,3.237861754,-6.919672186,0.719840194,7.673576859,1
0.9505313333,3.398442668,-6.772398366,0.2606372623,7.581736211,1
0.9604683333,3.494178545,-6.852813953,0.1996040984,7.694815435,1
0.9704053333,3.456423366,-7.341072248,0.2143320286,8.116904733,1
0.9803423333,3.315751344,-7.986365705,0.3165005008,8.653116012,1
0.9902793333,2.891974974,-8.579091523,0.7180953848,9.081849569,1
1.000216333,2.126737583,-9.351494678,1.284475404,9.675915591,1
1.010153333,1.038246449,-10.29290634,1.996164579,10.53596458,1
1.020090333,-0.01483570173,-11.04899927,1.574318376,11.16060407,1
1.030027333,-0.5754803333,-11.42007995,-0.006006259918,11.43457212,1
1.039964333,-1.060478951,-11.01013166,-0.5166295695,11.07314413,1
1.049901125,-1.884445338,-8.710756202,-0.1362902646,8.913303702,1
1.059838125,-1.674497552,-5.518824327,0.2533154154,5.772827098,1
1.069775125,-0.763612962,-1.074169183,-1.137763939,1.741106249,1
1.079712125,-0.1919760767,9.705799109,-5.167579744,10.99742113,1
1.089649125,1.020898271,31.97719683,-9.439636191,33.35700948,1
1.099586125,-1.348743321,57.88440376,-14.19168589,59.61398541,1
1.109523125,-3.8214627,47.06671801,-4.90928484,47.47610556,1
1.119460125,1.337325755,16.58487642,0.624644161,16.65042781,1
1.129397125,1.775688443,13.63395508,-1.003218484,13.78565369,1
1.139334125,-0.6046982852,19.32537518,0.1262296915,19.33524553,1
1.149271125,-2.148349769,21.67927241,2.224406111,21.89872694,1
1.159207125,-4.359667911,19.48263253,2.425949109,20.11131283,1
1.169144125,-5.286168294,15.30629384,1.327316784,16.24770679,1
1.179081125,-4.882741404,11.9375866,-1.777998824,13.01953982,1
1.189018125,-4.848286101,10.01978173,-3.48665961,11.66442022,1
1.198955125,-5.179568875,8.9498699,-3.552871141,10.93393791,1
1.208892125,-5.053091261,7.843468525,-2.559226888,9.674883568,1
1.218829125,-4.12409821,5.439802131,-1.753218616,7.047936491,1
1.228766125,-2.227619302,2.106485751,-0.8036213657,3.169444316,1
1.238703125,0.3570812738,0.8527041364,-0.9185215652,1.303185806,1
1.248640125,3.129978286,0.8034758431,-3.578715835,4.82177815,1
1.258577125,5.220977687,0.2322631001,-2.65387109,5.861363827,1
1.268513125,6.857419805,-1.5892393,0.778939172,7.08213486,1
1.278450125,7.449122361,-4.451986383,1.594653822,8.823407931,1
1.288387125,6.453974204,-6.270047112,1.00629178,9.054275066,1
1.298324125,4.797251018,-7.333814099,0.4262666988,8.773833248,1
1.308261125,3.945501148,-8.867991339,0.4346130145,9.715818965,1
1.318198125,3.568180321,-9.899941871,1.19094919,10.59052028,1
1.328135125,3.104708959,-10.86762332,2.093752854,11.49470553,1
1.338072125,2.327921124,-11.63180529,2.522202319,12.1276385,1
1.348009125,1.497493563,-11.91233364,1.479044428,12.09684886,1
1.357946125,1.029585333,-11.73541093,-0.531702522,11.79248164,1
1.367883125,0.7117938405,-11.07604264,-2.971866066,11.48988072,1
1.377819125,0.7091295567,-10.96949702,-4.841801539,12.01148499,1
1.387756125,0.5137403141,-11.38474171,-5.520099605,12.6628501,1
1.397693125,-0.1606366087,-11.31830097,-4.479978173,12.17373999,1
1.407630125,-0.5811375144,-10.43144442,-2.550492902,10.75443013,1
1.417567125,-0.5251887238,-9.993088017,-0.7464064336,10.03467757,1
1.427504125,-0.2259403597,-9.485740317,0.6663241374,9.511798267,1
1.437441125,0.1294792816,-8.971024541,1.769428267,9.1447757,1
1.447378125,0.4357986836,-8.587865855,2.501953996,8.955508597,1
